ano,rodada,time_casa,time_fora,gcasa,gfora
2003,31,coritiba_pr,gremio_rs,1,0,
2003,31,cruzeiro_mg,santos_sp,3,0,
2003,31,fluminense_rj,paysandu_pa,1,1,
2003,31,inter_rs,guarani_sp,2,0,
2003,31,criciuma_sc,corinthians_sp,1,0,
2003,31,bahia_ba,vasco_rj,3,0,
2003,31,fortaleza_ce,vitoria_ba,1,0,
2003,31,saocaetano_sp,figueirense_sc,0,2,
2003,31,juventude_rs,atletico_pr,4,0,
2003,31,saopaulo_sp,atletico_mg,2,2,
2003,31,flamengo_rj,goiás_go,1,1,
2003,32,atletico_pr,inter_rs,2,1,
2003,32,goiás_go,fortaleza_ce,0,1,
2003,32,gremio_rs,pontepreta_sp,2,2,
2003,32,paysandu_pa,bahia_ba,4,0,
2003,32,vitoria_ba,criciuma_sc,1,1,
2003,32,santos_sp,juventude_rs,1,1,
2003,32,corinthians_sp,cruzeiro_mg,0,1,
2003,32,parana_pr,saopaulo_sp,4,2,
2003,32,guarani_sp,flamengo_rj,5,3,
2003,32,vasco_rj,coritiba_pr,2,1,
2003,32,figueirense_sc,fluminense_rj,2,2,
2003,32,atletico_mg,saocaetano_sp,3,1,
2003,33,inter_rs,santos_sp,1,0,
2003,33,saopaulo_sp,gremio_rs,3,1,
2003,33,flamengo_rj,atletico_pr,2,1,
2003,33,fortaleza_ce,guarani_sp,3,0,
2003,33,criciuma_sc,goiás_go,1,0,
2003,33,bahia_ba,figueirense_sc,1,1,
2003,33,pontepreta_sp,vasco_rj,2,2,
2003,33,saocaetano_sp,parana_pr,2,0,
2003,33,juventude_rs,corinthians_sp,6,1,
2003,33,cruzeiro_mg,vitoria_ba,1,0,
2003,33,fluminense_rj,atletico_mg,0,1,
2003,33,coritiba_pr,paysandu_pa,1,0,
2003,34,atletico_pr,fluminense_rj,0,0,
2003,34,paysandu_pa,inter_rs,0,0,
2003,34,saocaetano_sp,pontepreta_sp,1,0,
2003,34,gremio_rs,figueirense_sc,3,1,
2003,34,saopaulo_sp,santos_sp,1,2,
2003,34,vitoria_ba,corinthians_sp,1,2,
2003,34,guarani_sp,coritiba_pr,2,1,
2003,34,atletico_mg,vasco_rj,2,1,
2003,34,juventude_rs,fortaleza_ce,2,2,
2003,34,goiás_go,bahia_ba,3,1,
2003,34,flamengo_rj,parana_pr,0,3,
2003,34,criciuma_sc,cruzeiro_mg,1,3,
2003,35,vasco_rj,juventude_rs,1,1,
2003,35,fortaleza_ce,gremio_rs,2,2,
2003,35,corinthians_sp,saocaetano_sp,0,3,
2003,35,coritiba_pr,goiás_go,1,0,
2003,35,pontepreta_sp,atletico_pr,2,2,
2003,35,bahia_ba,saopaulo_sp,3,0,
2003,35,santos_sp,guarani_sp,1,1,
2003,35,cruzeiro_mg,flamengo_rj,2,0,
2003,35,inter_rs,criciuma_sc,2,0,
2003,35,parana_pr,paysandu_pa,4,2,
2003,35,figueirense_sc,atletico_mg,0,1,
2003,35,fluminense_rj,vitoria_ba,2,0,
2003,36,atletico_pr,coritiba_pr,2,0,
2003,36,guarani_sp,pontepreta_sp,1,3,
2003,36,saocaetano_sp,santos_sp,2,2,
2003,36,goiás_go,fluminense_rj,6,1,
2003,36,vitoria_ba,bahia_ba,2,1,
2003,36,figueirense_sc,criciuma_sc,4,2,
2003,36,atletico_mg,cruzeiro_mg,0,1,
2003,36,juventude_rs,parana_pr,1,1,
2003,36,saopaulo_sp,corinthians_sp,3,0,
2003,36,inter_rs,gremio_rs,0,1,
2003,36,flamengo_rj,vasco_rj,2,1,
2003,36,paysandu_pa,fortaleza_ce,3,0,
2003,37,guarani_sp,fluminense_rj,2,0,
2003,37,goiás_go,saopaulo_sp,3,1,
2003,37,gremio_rs,atletico_mg,2,2,
2003,37,flamengo_rj,paysandu_pa,2,0,
2003,37,coritiba_pr,bahia_ba,3,2,
2003,37,santos_sp,atletico_pr,3,2,
2003,37,criciuma_sc,vasco_rj,2,1,
2003,37,parana_pr,inter_rs,4,0,
2003,37,fortaleza_ce,figueirense_sc,1,1,
2003,37,vitoria_ba,saocaetano_sp,0,0,
2003,37,corinthians_sp,pontepreta_sp,3,0,
2003,37,cruzeiro_mg,juventude_rs,1,2,
2003,38,saocaetano_sp,coritiba_pr,2,0,
2003,38,pontepreta_sp,goiás_go,0,2,
2003,38,atletico_pr,vitoria_ba,1,2,
2003,38,figueirense_sc,flamengo_rj,0,0,
2003,38,fluminense_rj,corinthians_sp,1,0,
2003,38,bahia_ba,santos_sp,4,7,
2003,38,inter_rs,cruzeiro_mg,1,0,
2003,38,atletico_mg,parana_pr,2,2,
2003,38,juventude_rs,gremio_rs,1,2,
2003,38,saopaulo_sp,guarani_sp,3,3,
2003,38,vasco_rj,fortaleza_ce,1,1,
2003,38,paysandu_pa,criciuma_sc,4,0,
2003,39,bahia_ba,fluminense_rj,2,2,
2003,39,coritiba_pr,santos_sp,0,4,
2003,39,pontepreta_sp,vitoria_ba,1,1,
2003,39,cruzeiro_mg,figueirense_sc,1,0,
2003,39,goiás_go,guarani_sp,3,0,
2003,39,parana_pr,vasco_rj,3,3,
2003,39,corinthians_sp,atletico_pr,2,3,
2003,39,criciuma_sc,fortaleza_ce,2,2,
2003,39,saocaetano_sp,saopaulo_sp,0,1,
2003,39,paysandu_pa,atletico_mg,1,0,
2003,39,flamengo_rj,gremio_rs,2,1,
2003,39,inter_rs,juventude_rs,0,0,
2003,40,gremio_rs,parana_pr,0,2,
2003,40,atletico_pr,saocaetano_sp,1,0,
2003,40,guarani_sp,bahia_ba,3,2,
2003,40,fluminense_rj,pontepreta_sp,2,2,
